attractionName,visitTime,ticketPrice
King's College Cambridge,1,10
The River Cam Cambridge,0.5,0
Trinity College Cambridge,1.5,2
St John's College Cambridge,1,10
Queens' College Cambridge,2,0
Great St Mary's Church Cambridge,2,0
Magdalene College Cambridge,1,0
The Backs Cambridge,2,0
Emmanuel College Cambridge,2,0
Fitzwilliam Museum Cambridge,1.5,0
Newnham College Cambridge,1.5,0
Peterhouse Cambridge Cambridge,1,0
Gonville and Caius CollegeGonville and Caius College Cambridge,0.5,0
Cambridge University Botanic Garden Cambridge,1.5,6
Grasshopper Clock Cambridge,0.5,0
Cambridge University Library Cambridge,2,0
Sedgwick Museum of Geology Cambridge,0.5,1
University Museum of Zoology Cambridge,1.5,0
Christ's College Cambridge,0.5,0
Museum of Classical Archaeology Cambridge,2,0
Wren Library Cambridge,0.5,2
Cambridge City Cemetery Cambridge,0.5,0
Anglesey Abbey Cambridge,2,12.45
Whipple Museum of the History of Science Cambridge,0.5,0
Homerton College Cambridge,0.5,0
Cambridge Corn Exchange Cambridge,1,0
St Bene't's Church  Cambridge,0.5,0
Cambridge Community Church Cambridge,1,0
Cambridge Muslim Welfare Society Cambridge,2,0
