atractionName,visitTime,ticketPrice
Old Trafford Stadium Manchester,2,25
The John Rylands Library Manchester,1,0
ManchesterTown Hall Manchester,0.5,0
Chinatown Manchester,2,0
Albert Square Manchester,1,0
Museum of Science & Industry MOSI Manchester,1.5,0
Manchester Cathedral Manchester,0.5,0
Manchester Art Gallery Manchester,1,0
Gay Village Manchester,2.5,0
Manchester Central Library Manchester,2,0
The Lowry Manchester,1,0
The Manchester Museum Manchester,2,0
Peak District National Park Manchester,3,0
Manchester Arndale Manchester,2,0
People's History Museum Manchester,1.5,0
National Football Museum Manchester,0.5,10
Chetham's Library Manchester,1,0
Northern Quarter Manchester,2,0
Whitworth Art Gallery Manchester,2,0
Royal Exchange Theatre Manchester,2,0
St Mary's Church (The Hidden Gem) Manchester,0.5,0
The Runway Visitor Park Manchester,1,0
Greater Manchester Police Museum Manchester,1,0
St. Ann's Church Manchester,0.5,0
Manchester Buddhist Centre Manchester,1.5,0
King's House Manchester,1,0
Castlefield Urban Heritage Park Manchester,2.5,0
Cathedral Church of St. John The Evangelist Manchester,0.5,1
