attractionName,visitTime,ticketPrice
York Cathedral York,0.5,16.5
York City Walls York,0.5,0
The Shambles York,2,0
Clifford's Tower York,1.5,0
National Railway Museum York,2,0
York Castle Museum York,2,10.9
Ouse River York,1,0
Museum Gardens York,2,0
Pyramid Gallery York,1.5,0
University of York York,3,0
York Art Gallery York,2,7.5
Jorvik Viking Centre York,1,10.25
The York Army Museum York,1.5,4
Micklegate Bar Museum York,2,0
Yorkshire Museum York,1,7.5
JORVIK York,1,8.5
St. Mary's Abbey York,2,0
Yorkshire Lavender York,1.5,3.5
St. Wilfrid's Church York,1,0
Fairfax House York,2,0
Treasurer's House York,1.5,0
Merchant Taylors' Hall York,1,6镑
Barley Hall York,1.5,0
The Chapter House York,0.5,0
York Central Librar York,3,0
York Maze York,1.5,0
Margaret Clitherow Shrine York,2,0
The Hospitium York,2.5,0
Heslington Church York,2.5,0
